Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Social relationship,Transmission bias,Learning process,Time spent,Perceived difficulty,Technology,Raw material,Access to raw material,Access to technology,Note,Reference
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,"1963, 1965-1967, 1977, 1982, 1997",NA,NA,NA,NA,1,NA,Adult,1,Vertical,father-son,Kin-based,helping,NA,NA,boat making,wood,NA,restricted to men,It is usually an individual project but collaboration is allowed,"Nimmo, 2000: 53"
Southeast Asia,Semai,AN06,Horticulturalist,"1962-1963, 1975",NA,NA,NA,NA,NA,NA,Adult,NA,Vertical/Oblique,"parents-children, grandparents-children",Kin-based,"imitation, explicit instruction, play",NA,NA,a small version of the appropriate tool,NA,NA,NA,NA,"Dentan, 1978: 126"
Southeast Asia,Vietnamese,AM11,Intensive agriculturalist,"1958-1959, 1962-1964",NA,NA,NA,NA,NA,NA,Adult,1,Vertical/Oblique,"father-son, uncle-nephew",Kin-based,Apprenticeship,NA,NA,carpentry,wood,NA,restricted to kins,It is possible to do apprenticeship with a non-kin in another village,"Hickey, 1964: 165-166"
Southeast Asia,Vietnamese,AM11,Intensive agriculturalist,"1990-1992, 1993-1994",NA,NA,NA,NA,NA,NA,Adult,NA,Vertical/Oblique,"sons, sons-in-law, and patrilineal descendants",Kin-based,taught,NA,NA,"paper votive items for the dead, traditional ink-block prints",NA,NA,restricted to patralinial male kins,The most important knowledge was taught exclusively to senior men,"Malarney, 1998: 273-274"
Scandinavia,Saami,EP04,Pastoralist,1958-1959,NA,NA,boy,NA,NA,NA,Adult,1,Vertical,father-son,Kin-based,scaffolding and teaching,NA,NA,"construction of cabins, boats, sleds, reindeer collars, harness, and numerous other items",NA,NA,restricted to men,The training is highly permissive,"Pelto and Pertti, 1962: 112"
Central Mexico,Nahua,NU46,Other subsistence combinations,1943-1948,NA,NA,NA,NA,NA,NA,Adult,1,Vertical,father-son,Kin-based,NA,NA,NA,"carpentry, masonry, and shoemaking",NA,NA,restricted to sons,The sexual division of labor is relatively strict,"Lewis, 1951: 98"
Central Mexico,Zapotec,NU44,Horticulturalist,1965-1967,"residence lot, street corner, quarry",mixed,17.5,adult,6-May,NA,Adult,1 or more,Vertical/Oblique,"father-son, brothers, unrelated individuals",Kin-based,Apprenticeship,NA,NA,metate making,stone,NA,restricted to men?,The social status and hiearchy is clearly described.,"Cook, 1979: 189-191"
Maya Area,Tzeltal,NV09,Horticulturalist,"1957-1958, 1965-1967",NA,NA,11,middle childhood,NA,NA,Adult,1,Vertical/Oblique,"mother-daughter, mother-in-law",Kin-based,emulation+instruction,NA,NA,pottery making,clay,NA,restricted to women?,gendered skills. Men are mostly responsible for selling potteries,"Nash, 1970: 55-56; Hunt, 1962: 168"
Arctic and Subarctic,Aleut,NA06,Hunter-gatherers,1987-1990,NA,NA,Young women,NA,NA,NA,Adult,1,Vertical,mother-daughter,Kin-based,instructed,NA,NA,manufacturing,NA,NA,NA,The boys mostly learn from their maternal uncle,"Petrivelli et al., 1992: 440-441"
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,from the earliest age/<5 or 6,infancy,NA,NA,Adult,1,Vertical,father-son,Kin-based,NA,NA,NA,"boat making, making bows and arrows",NA,NA,restrcited to men,gendered skills,"Hrdlicka, 1975: 79"
