Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes_cat,Social relationship,Transmission bias_cat,Learning process,Learning process_cat,Time spent,Technology_cat,Technology,Raw material,Note,Reference
Central Africa,Barundi,FO58,Horticulturalists,1911,NA,NA,NA,NA,Single,NA,adulthood,Single,Vertical,father,Kin-based,NA,NA,NA,metal working,blacksmithing,Metal,restricted to the oldest son; mother can also pass her expertise to her oldest daughter,"Meyer and Handzik, 1916: 139"
Central Africa,Mbuti,FO04,Hunter-gatherers,"1951, 1954-1955",NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,imitation,Observational,NA,basket making,basket making,Plant fiber,NA,"Turnbull, 1965: 125"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,metal working,forging,Metal,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,woodworking,wood sculpture,Wood,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,mat making,the weaving of mats,Plant fiber,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,basket making,the weaving of baskets,Plant fiber,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,pottery making,pottery making,Clay,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Teda,MS22,Agro-pastoralists,Ca. 1930-1955,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,net making,net making,Plant fiber,NA,"Chapelle and Schütze, 1957: 164-165"
Central Africa,Teda,MS22,Agro-pastoralists,Ca. 1930-1955,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trap making,trap making,Composite,"Traps include darts, siding knots, and thick sticks.","Chapelle and Schütze, 1957: 164-165"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",hamlet,indoor,boys,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,weaving,reed weaving,Plant fiber,NA,"Messing and Bender, 1985: 209"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,toy making,"water-pistols, peashooters",Plant fiber,toys are made of bamboo,"Messing and Bender, 1985: 209"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,musical instrument making,"panpipe flutes, bullrearer",Composite,"instruments are made of wood and reeds, which are used to scare birds away","Messing and Bender, 1985: 209"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,train,Interactive,NA,clothes making,bark cloth making,Plant fiber,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,train,Interactive,NA,metal working,blacksmithing,Metal,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,train,Interactive,NA,woodworking,woodworking,Wood,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,train,Interactive,NA,raw material processing,hide working,Leather,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,train,Interactive,NA,pottery making,pottery making,Clay,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Chagga,FN04,Intensive agriculturalist,Ca. 1918,workshop,indoor,boys,NA,NA,NA,adulthood,Single,Vertical/Oblique,father/blood kin or blood kin to become,Kin-based,"Apprenticeship, experimentation",Interactive,2-3 years at least,metal working,blacksmithing,Metal,"The apprentice is not allowed to teach others without the consent of the master; When a son learns from his father, the learning process is strongly motivated by personal interest and the resulting individual learning","Raum, 1940: 369-370; Dundas Sir, 1924: 273-274"
Eastern Africa,Fur,MQ08,Intensive agriculturalist,1936-1938,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,"imitation, inculcation and exhortation with small rewards ",Interactive,NA,basket making,basket weaving,Plant fiber,NA,"Beaton, 1948: 15-16"
Eastern Africa,Fur,MQ08,Intensive agriculturalist,1936-1938,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,"imitation, inculcation and exhortation with small rewards ",Interactive,NA,musical instrument making,drum,NA,NA,"Beaton, 1948: 15-16"
Eastern Africa,Fur,MQ08,Intensive agriculturalist,1936-1938,home,indoor,boys,NA,NA,NA,NA,NA,NA,NA,NA,"imitation, inculcation and exhortation with small rewards ",Interactive,NA,raw material processing,cotton spinning,Plant fiber,NA,"Beaton, 1948: 15-16"
Eastern Africa,Fur,MQ08,Intensive agriculturalist,1936-1938,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,"imitation, inculcation and exhortation with small rewards ",Interactive,NA,pottery making,pottery making,Clay,NA,"Beaton, 1948: 15-16"
Eastern Africa,Ganda,FK07,Intensive agriculturalist,1931-1932,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,"instruction, co-working",Interactive,NA,clothes making,bark cloth making,Plant fiber,NA,"Mair, 1934: 65"
Eastern Africa,Ganda,FK07,Intensive agriculturalist,1931-1932,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,taught,Interactive,NA,metal working,blacksmithing,Metal,only happens when fathers are specialists,"Mair, 1934: 65"
Eastern Africa,Ganda,FK07,Intensive agriculturalist,1931-1932,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,taught,Interactive,NA,pottery making,pottery making,Clay,only happens when fathers are specialists,"Mair, 1934: 65"
Eastern Africa,Gikuyu,FL10,Intensive agriculturalist,"1983-1984, 1992, 1994",NA,NA,girls at very young age,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,"mother, grandmother",Kin-based,imitation and practice,Observational,NA,basket making,basket weaving,Plant fiber,The learner started from easy-to-use raw material first,"Davison, 1996: 136"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,Single,NA,adulthood,Multiple,Vertical/Oblique,"aunts, mother",Kin-based,"taught, imitation",Interactive,3 years,mat making,sleeping mat,Plant fiber,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,Single,NA,adulthood,Multiple,Vertical/Oblique,"aunts, mother",Kin-based,"taught, imitation",Interactive,3 years,basket making,basket making,Plant fiber,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,Single,NA,adulthood,Multiple,Vertical/Oblique,"aunts, mother",Kin-based,"taught, imitation",Interactive,3 years,pottery making,pottery making,Clay,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,Single,NA,adulthood,Multiple,Vertical/Oblique,"aunts, mother",Kin-based,"taught, imitation",Interactive,3 years,clothes making,cap making,NA,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,Single,NA,adulthood,Multiple,Vertical/Oblique,"aunts, mother",Kin-based,"taught, imitation",Interactive,3 years,clothes making,Bark cloth making,Plant fiber,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Nuba,FJ21,Intensive agriculturalist,1938-1941,factory close to clay source but with some distance from the homesteads,outdoor,"grown-up women, daughter",adulthood,NA,NA,adulthood,NA,Vertical/Horizontal,"Expert, mother",Mixed,"watch, help and instruction",Interactive,NA,pottery making,pottery making,Clay,Different tribes or even different hill communities of the same tribe often specialize in different kinds of pots,"Nadel, 1947: 71-72"
Eastern Africa,Okiek,FL20,Hunter-gatherers,1938-1939,NA,NA,boy before puberty,middle childhood,Multiple,NA,adulthood,Multiple,Vertical/Oblique,"father, paternal uncle",Kin-based,teach,Interactive,NA,woodworking,honey-barrel making+general woodworking,Wood,NA,"Huntingford, 1951: 27, 29-30"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,boy,NA,Single,older sibling or an adult,adulthood,NA,Vertical/Horizontal,older sibling or an adult,Kin-based,taught,Interactive,NA,woodworking,woodworking,Wood,NA,"Gulliver, 1951: 190A"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,girls before 10,middle childhood,NA,NA,adulthood,Multiple,Vertical/Oblique,mother and mother's co-wives,Kin-based,direct tutelage,Interactive,NA,clothes making,clothes making,NA,NA,"Gulliver, 1951: 191A-191B"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,girls before 10,middle childhood,NA,NA,adulthood,Multiple,Vertical/Oblique,mother and mother's co-wives,Kin-based,direct tutelage,Interactive,NA,ornament making,beadwork,NA,NA,"Gulliver, 1951: 191A-191B"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,girls before 10,middle childhood,NA,NA,adulthood,Multiple,Vertical/Oblique,mother and mother's co-wives,Kin-based,direct tutelage,Interactive,NA,vessel making,vessel making,NA,NA,"Gulliver, 1951: 191A-191B"
Northern Africa,Berbers of Morocco,MX03,Agro-pastoralists,1926-1927,her house,indoor,girl,NA,Single,NA,NA,Multiple,NA,Experts,Success-based,instruction,Interactive,NA,weaving,weaving,Plant fiber,The instruction is in the form of party,"Coon, 1931: 77"
Northern Africa,Nubians,MR08,Horticulturalists,1963-1964,NA,NA,NA,NA,NA,NA,NA,NA,Vertical/Oblique,within families,Kin-based,NA,NA,NA,woodworking,building technique (carpentary),Wood,Very few specialists exist among a group of people who have general building techniques,"Kennedy and Fahim, 1977: 25"
Northern Africa,Tuareg,MS25,Agro-pastoralists,1929-1940,NA,NA,girls after 6 or 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mat making,weaving,Plant fiber,NA,"Lhote and Sipfle, 1944: 146-147"
Northern Africa,Tuareg,MS25,Agro-pastoralists,1929-1940,NA,NA,girls after 6 or 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,metal working,little copper articles making,Metal,NA,"Lhote and Sipfle, 1944: 146-147"
Northern Africa,Tuareg,MS25,Agro-pastoralists,1929-1940,NA,NA,girls after 6 or 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw material processing,goat hair spinning,Leather,NA,"Lhote and Sipfle, 1944: 146-147"
Southern Africa,Bemba,FQ05,Horticulturalists,1930-1934,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,watching,Observational,NA,pottery making,pottery making,Clay,The learning process is gradual and the learners were not forced to practice it.,"Richard, 1939: 105-106"
Southern Africa,Khoi,FX13,Other subsistence combinations,NA,NA,NA,little girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,assisting,Interactive,NA,mat making,reed mat making,Plant fiber,NA,"Schapera, 1930: 268-269"
Southern Africa,Ovambo,FX08,Agro-pastoralists,"1958-1962, 1971-1975",NA,NA,boy,NA,NA,NA,adulthood,Single,Oblique,mother or father's brother,Kin-based,trained,Interactive,NA,metal working,blacksmithing,Metal,The blacksmith has low social status. There is an initation ceremony to become independent,"Hiltunen, 1993: 70-71"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,weapon making,wooden-tipped arrows,Wood,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,mat making,mat making,Plant fiber,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,woodworking,woodworking,Wood,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,rope making,rope making,Plant fiber,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,girls at an early age,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,pottery making,pottery making,Clay,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,girls at an early age,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,basket making,basket making,Plant fiber,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1924-1940,NA,NA,boys before 8 or 9,middle childhood,NA,Elder sibling or cousin,NA,NA,Horizontal/Oblique,Elder sibling or cousin,Kin-based,tutoring,Interactive,NA,trap making,trap and snare making,NA,NA,"Childs, 1949: 104"
Southern Africa,San,FX10,Hunter-gatherers,1958-1964,NA,NA,"boys in early childhood; boy after ""small child"" but before puberty",infancy and early childhood,Multiple,"Elder, older brothers",adulthood,Single,Vertical/Oblique,"Elder, father and older brothers, father-in-laws",Mixed,answering question and instruction,Interactive,NA,weapon making,making bows,NA,The learning is multi-staged,"Silberbauer, 1965: 79-81; Silberbauer, 1972: 315-316"
Southern Africa,San,FX10,Hunter-gatherers,1958-1964,NA,NA,"boy after ""small child"" but before puberty",middle childhood,NA,older brothers,adulthood,Multiple,Vertical/Oblique,"father and older brothers, father-in-laws",Kin-based,"helping, instruction",Interactive,NA,general toolmaking,the manufacture of implements,NA,girls start to take their social responsibilites earlier than boys; protracted learning process,"Silberbauer, 1965: 79-81; Silberbauer, 1972: 315-316"
Southern Africa,Shona,FS05,Agro-pastoralists,1965-1971,NA,NA,boys in puberty,middle childhood,NA,NA,NA,NA,NA,NA,Kin-based,instruction,Interactive,NA,weapon making,weapon making,NA,NA,"Aschwanden and Cooper, 1982: 75-76"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,girls at an early age,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,"mother, grandmother",Kin-based,"individual learning, correcting error, teaching",Interactive,NA,pottery making,pottery making,Clay,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221, 35-36; Bullock, 1950: 42"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agriculture equipment making,hoes making,Composite,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stoneworking,groundstone toolmaking(pestles),Stone,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys in puberty,middle childhood,NA,NA,NA,NA,NA,NA,Kin-based,instruction,Interactive,NA,general toolmaking,general toolmaking,NA,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221; Aschwanden and Cooper, 1982: 75-76"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw material processing,leather work,Leather,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,NA,NA,NA,boy at 6,middle childhood,NA,Older boys/grandfather,adulthood,Multiple,Horizontal/Oblique,Older boys,Mixed,teach,Interactive,NA,trap making,trap making,NA,NA,"Bullock, 1950: 40-41; Gelfand, 1979: 35-36"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,watching and helping,Observational,NA,woodworking,woodworking,Wood,NA,"Gelfand, 1979: 182"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,watching and helping,Observational,NA,metal working,iron work,Metal,NA,"Gelfand, 1979: 182"
Southern Africa,Shona,FS05,Agro-pastoralists,1940-1967,NA,NA,boys after 6 or 7,middle childhood,NA,NA,adulthood,Multiple,Vertical/Oblique,"father, brothers",Kin-based,helping,Observational,NA,basket making,basket making,Plant fiber,NA,"Gelfand, 1968: 105; Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,1940-1967,NA,NA,boys after 6 or 7,middle childhood,NA,NA,adulthood,Multiple,Vertical/Oblique,"father, brothers",Kin-based,helping,Observational,NA,mat making,mat making,Plant fiber,NA,"Gelfand, 1968: 105"
Southern Africa,Tanala,FY08,Intensive agriculturalist,1926-1927,NA,NA,"boys ""at a very early age""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trap making,traps for small birds and mammals,NA,Tanala toys seem to be characterized by an almost complete absence of replicas of things used by adults,"Linton, 1933: 256-258"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,"""throughout childhood""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general toolmaking,various tools or utensils,NA,Boys have a less uniform training and their competence,"Colson, 1958: 262-263"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basket making,basket making,Plant fiber,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pottery making,pottery making,Clay,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,metal working,blacksmith,Metal,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,woodworking,woodcarving,Wood,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,1946-1948,NA,NA,boys after 5 or 6,middle childhood,NA,NA,NA,NA,NA,NA,NA,practice,Individual,NA,trap making,spinning thread for making snares,Plant fiber,"""Spend hours spinning threads""","Colson, 1949: 31-32"
Southern Africa,Zulu,FX20,Agro-pastoralists,Ca. 1956-1957,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,imitation and experimenting,Observational,NA,agriculture equipment making,"making sledges, riems, yokes",Composite,NA,"Vilakazi, 1962: 124-125"
Southern Africa,Zulu,FX20,Agro-pastoralists,Ca. 1956-1957,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,taught,Interactive,a period of apprenticeship,weapon making,spear making,NA,"Relatives can also learn; ""not esoteric in nature""","Vilakazi, 1962: 124-125"
Southern Africa,Zulu,FX20,Agro-pastoralists,"1940, 1952-53, 1955-56, 1956-57",NA,NA,girls after ear-piercing ,NA,NA,NA,NA,NA,NA,NA,NA,make-believe play,Interactive,NA,ornament making,beadwork,NA,NA,"Raum, 1973: 91"
Western Africa,Akan,FE12,Horticulturalists,1921-192?,NA,NA,NA,NA,NA,NA,adulthood,Single,Vertical,father/sister's son-uncle,Kin-based,NA,NA,NA,woodworking,stool carving,Wood,"stools are believed to have their own name, gender, and social status; A woman might not carve a stool—
because of the ban against menstruation","Rattray, 1927: 271-272"
Western Africa,Akan,FE12,Horticulturalists,1921-192?,NA,NA,quite small children,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,NA,NA,NA,pottery making,pottery making,Clay,anthropomorphic or zoomorphic forms are forbidden for women to make,"Rattray, 1927: 301-302"
Western Africa,Akan,FE12,Horticulturalists,1921-192?,NA,NA,little boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,play with miniature tools,Individual,NA,weaving,weaving,Plant fiber,hereditary occupation,"Rattray, 1927: 233"
Western Africa,Dogon,FA16,Intensive agriculturalist,1935,NA,NA,NA,NA,Single,NA,adulthood,Single,Vertical,mother,Kin-based,"observe, help with preparation",Observational,NA,pottery making,pottery making,Clay,shoemaking is more specialized than pottery making,"Paulme and Schütze, 1940: 447"
Western Africa,Dogon,FA16,Intensive agriculturalist,1935,NA,NA,girls of 5 or 6,infancy and early childhood,Single,NA,adulthood,Single,Vertical,mother,Kin-based,"observe, help with preparation",Observational,NA,clothes making,shoe making ,NA,shoemaking is more specialized than pottery making,"Paulme and Schütze, 1940: 447"
Western Africa,Dogon,FA16,Intensive agriculturalist,1935,NA,NA,child,NA,Single,NA,adulthood,Single,Vertical,father,Kin-based,"observe, help with preparation",Observational,NA,metal working,blacksmith,Metal,politeness is regarded more challenging compared with basket plaiting,"Paulme and Schütze, 1940: 447"
Western Africa,Fon,FA18,Horticulturalists,1931,workshop,indoor,3 or 4,infancy and early childhood,Single,8 or 9,middle childhood,Multiple,Horizontal,brothers,Kin-based,help with preparation,Interactive,NA,metal working,blacksmith,Metal,child begins to participate in Dahomean life at a very early age; children with special talents can choose crafts different from their father's,"Herskovits, 1967: 273-274"
Western Africa,Fulani,MS11,Pastoralists,1951-1953,pool and stream,outdoor,4/5-9/10,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,play,Individual,NA,pottery making,pottery figurine making,Clay,No gender restrictions but gendered expressions exist. ,"Stenning, 1964: 155-156"
Western Africa,Fulani,MS11,Pastoralists,1951-1953,Homestead,indoor,4/5-9/10,infancy and early childhood,NA,NA,NA,NA,Vertical/Oblique,elders,Kin-based,imitation,Observational,NA,rope making,rope making,Plant fiber,NA,"Stenning, 1964: 155-156"
Western Africa,Igbo,FF26,Horticulturalists,1951-1960,bush,outdoor,Enna (small boy before initiation),middle childhood,Multiple,"older boys in the village, Older brothers",adulthood,NA,Horizontal/Oblique,"men or older boys in the village, Older brothers",Mixed,"imitation, play, teach",Interactive,NA,ritual item making,mask carving and coloring,Wood,mutli-staged learning; secret sociey composed of small boys; criticisms and rewards of age-mates are important motivations,"Ottenberg, 1975: 67-69; Ottenberg, 1989: 121-122"
Western Africa,Igbo,FF26,Horticulturalists,1951-1960,NA,NA,Enna (boy of 11),middle childhood,NA,NA,NA,Single,Horizontal,Older-younger brothers,Kin-based,"play, teach",Interactive,NA,musical instrument making,musical instrument making,Wood,criticisms and rewards of age-mates are important motivations,"Ottenberg, 1975: 67-69; Ottenberg, 1989: 121-122"
Western Africa,Igbo,FF26,Horticulturalists,"1951-1953, 1959-1960, 1966",NA,NA,girls before adolescence,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pottery making,pottery making,Clay,NA,"Ottenberg, 1989: 121-122"
Western Africa,Igbo,FF26,Horticulturalists,1929-1932,NA,NA,boys 5-7,infancy and early childhood,NA,NA,adulthood,Single,Vertical,father,Kin-based,taught,Interactive,NA,mat making,mat making,Plant fiber,NA,"Meek, 1970: 298"
Western Africa,Kpelle,FD06,Horticulturalists,"1968-1969, 1973",workshop/bush,mixed,"8, 14, ages of seven and fifteen",middle childhood,Single,NA,adulthood,Single,Horizontal/Oblique,"Teacher, Peer friends, uncle",Mixed,"make-believe play, Apprenticeship",Interactive,3-4 years,metal working,blacksmithing,Metal,"Multi-staged learning; Appreticeship is not done with their parents and involves phsyical abuse. Before formal apprenticeship, there is a period of helping and watching. The make-believe play acitivty mimicing the blacksmith business help them get used to the social aspects of this technology, e.g., how to maintain a relationship with customer, but not its technical or ideological aspects. Children use models instead of real tools and artifacts. Conflicting records in terms of age, which could a result of staged learning; Formal poro bush school. The learning process is strictly kept as a secret.","Lancy, 1984: 89-90; 157-158; 161-162; Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1968-1969,NA,NA,mid-teen,adolescence,Single,NA,adulthood,Single,Oblique,unrelated individuals,Success-based,apprenticeship,Interactive,3 years,raw material processing,leather making,Leather,The learner was exposed to this skill when he was much younger from his uncle,"Lancy, 1984: 159"
Western Africa,Kpelle,FD06,Horticulturalists,"1967-1969, 1973",NA,NA,"12, 16, 21",middle childhood,Single,NA,adulthood,Single,Vertical/Horizontal,"father, Peer friends",Mixed,teaching by demonstration,Interactive,two weeks,hammock making,weaving,Plant fiber,"there need not be an expert present to see the influence exerted by society on the learner. In each of the previous cases, we see individuals acquiring weaving skills to enhance their own social participatio","Lancy, 1996: 154-155"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor,ages of seven and fifteen,middle childhood,Multiple,NA,adulthood,NA,Oblique,Teacher,Success-based,teaching,Interactive,4 years,basket making,basket making,Plant fiber,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor,ages of seven and fifteen,middle childhood,Multiple,NA,adulthood,NA,Oblique,Teacher,Success-based,teaching,Interactive,4 years,miscellaneous,sieve making,Plant fiber,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor,ages of seven and fifteen,middle childhood,Multiple,NA,adulthood,NA,Oblique,Teacher,Success-based,teaching,Interactive,4 years,fishing devices making ,weir making,Wood,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor,ages of seven and fifteen,middle childhood,Multiple,NA,adulthood,NA,Oblique,Teacher,Success-based,teaching,Interactive,4 years,boat making,carving dugouts,Wood,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor,ages of seven and fifteen,middle childhood,Multiple,NA,adulthood,NA,Oblique,Teacher,Success-based,teaching,Interactive,4 years,woodworking,carving mortars,Wood,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
