Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes_cat,Social relationship,Transmission bias_cat,Learning process,Learning process_cat,Time spent,Technology_cat,Technology,Raw material,Note,Reference
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,boy of 7,middle childhood,NA,NA,adulthood,NA,Vertical,father,Kin-based,teaching,Interactive,NA,stoneworking,groundstone toolmaking(polishing stone axes and stone knives),NA,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-41"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,boy of 7,middle childhood,NA,NA,adulthood,NA,Vertical,father,Kin-based,teaching,Interactive,NA,stoneworking,flintknapping(chipping flint by percussion),Stone,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-41"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,boys of 15,adolescence,NA,NA,adulthood,NA,Vertical/Horizontal,father,Kin-based,teaching,Interactive,NA,boat making,canoe making,Wood,The hunting skill is learnt through a combination of teaching and group practice with adolescence ganster,"Pospisil, 1958: 40-41"
Melanesia,Kwoma,OJ13,Other subsistence combinations,1936-1937,NA,NA,children-boy,NA,NA,NA,adulthood,NA,Vertical,Parents,Kin-based,imitation and help,Interactive,NA,general toolmaking,various utensils,NA,Boys help by fetching raw materials,"Whiting, 1941: 47-48"
Melanesia,Kwoma,OJ13,Other subsistence combinations,1936-1937,NA,NA,Girl before adolescence,middle childhood,NA,NA,adulthood,NA,Vertical,Parents,Kin-based,imitation,Observational,NA,bag making,bag netting,NA,NA,"Whiting, 1941: 47-48"
Melanesia,Maleluka,OO12,Horticulturalists,1925-1927,the house of seclusion,outdoor,boys during initation,NA,NA,NA,adulthood,NA,Oblique,guardings during initations,NA,teach,Observational,NA,musical instrument making,panpipes making,NA,Fathers are also forbidden to make contacts with their son during the initaiton,"Deacon and Wedgwood, 1934: 250-253"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,children,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,watching,Observational,NA,boat making,canoe building,Wood,The are not allowed to participate in these activities,"Mead, 1956: 115-116"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,children,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,watching,Observational,NA,fishing devices making ,fishing devices making ,NA,The are not allowed to participate in these activities,"Mead, 1956: 115-116"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,betrothed girls,adolescence,NA,Older women,adulthood,NA,Vertical/Oblique,NA,NA,NA,NA,NA,rope making,string making,Plant fiber,gendered skill,"Mead, 1956: 115-116"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,betrothed girls,adolescence,NA,Older women,adulthood,NA,Vertical/Oblique,NA,NA,NA,NA,NA,ornament making,beadwork,NA,gendered skill,"Mead, 1956: 115-116"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,betrothed girls,adolescence,NA,Older women,adulthood,NA,Vertical/Oblique,NA,NA,NA,NA,NA,clothes making,grass-skirt-making ,NA,gendered skill,"Mead, 1956: 115-116"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,betrothed girls,adolescence,NA,Older women,adulthood,NA,Vertical/Oblique,NA,NA,NA,NA,NA,mat making,mat making,Plant fiber,gendered skill,"Mead, 1956: 115-116"
Melanesia,Manus,OM06,Hunter-gatherers,1928-1929,NA,NA,small boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,imitation,Observational,NA,woodworking,"whittling, bamboo torch making",Wood,NA,"Mead, 1930: 46-47; Mead, 1956: 132"
Melanesia,Manus,OM06,Hunter-gatherers,1928-1929,NA,NA,small boys,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,playful imitation,Observational,NA,weapon making,wooden spear making,NA,NA,"Mead, 1930: 44-45; Mead, 1956: 131"
Melanesia,Manus,OM06,Hunter-gatherers,"1928-1929, 1953",NA,NA,small boys,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,practice beside model,Observational,NA,basket making,basket making,Plant fiber,NA,"Mead, 1956: 366"
Melanesia,Siwai,ON19,Agro-pastoralists,1938-1939,NA,NA,child,NA,NA,NA,adulthood,NA,Vertical/Oblique,parents and other relatives,Kin-based,"imitation, instruction",Interactive,NA,weaving,weaving,Plant fiber,NA,"Oliver, 1955: 191-192"
Melanesia,Siwai,ON19,Agro-pastoralists,1938-1939,NA,NA,child,NA,NA,NA,adulthood,NA,Vertical/Oblique,parents and other relatives,Kin-based,"imitation, instruction",Interactive,NA,rope making,rope making,Plant fiber,NA,"Oliver, 1955: 191-192"
Melanesia,Tinputz,ON26,Other subsistence combinations,1929-1930,NA,NA,boys,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,Older men,NA,taught,Interactive,NA,boat making,canoe making,Wood,NA,"Blackwood, 1935: 246"
Melanesia,Trobriands,OL06,Other subsistence combinations,"1973-1974, 1976, 1931-1935",The veranda of the carver's hut,indoor,"boys of 11 or 12, child after initation",middle childhood,Multiple,NA,adulthood,Single,Vertical/Oblique,"father, uncle, unrelated individual",Mixed,apprenticeship,Interactive,15-20 years,woodworking,carving and engraving,Wood,Master plays favorisim; Only if the father or uncle themselves are not engraver they will pay a professional engraver to teach the learner,"Scoditti, 1989: 46-48; Austen, 1945: 194-195"
Melanesia,Trobriands,OL06,Other subsistence combinations,NA,NA,NA,girls of 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,experimenting,Individual,NA,clothes making,clothes making,Plant fiber,gendered skill,"Weiner, 1976: 95; Silas, 1926: 154-155"
Melanesia,Trobriands,OL06,Other subsistence combinations,Ca. 1920,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,"instruction, indivividual learning",Interactive,NA,boat making,canoe making,Wood,gendered skill. Children make faithful small toy replicas of canoes ,"Silas, 1926: 154-155; Austen, 1945: 194-195"
Melanesia,Trobriands,OL06,Other subsistence combinations,Ca. 1920,NA,NA,boys at an early age,NA,NA,Elders,adulthood,NA,Vertical/Oblique,Elders,Success-based,instruction,Interactive,NA,net making,net making,Plant fiber,genered skill. The learning starts with the small verison,"Silas, 1926: 192"
Melanesia,Wogeo,OJ27,Other subsistence combinations,1934,NA,NA,girls before 8,middle childhood,Multiple,NA,adulthood,Single,Vertical,mother,Kin-based,showing,Observational,NA,clothes making,clothes making,NA,"This is a journal articled titled ""A New Guinea childhood: from weaning till the eighth year in Wogeo""","Hogbin, 1946: 288"
Melanesia,Wogeo,OJ27,Other subsistence combinations,1934,NA,NA,boys before 8,middle childhood,Single,NA,adulthood,Single,Vertical,father,Kin-based,co-working,Interactive,NA,boat making,canoe making,Wood,The model is aware of the fact that the learner impede his progress but he is still willing to teach,"Hogbin, 1946: 282"
Micronesia,Belau,OR15,Other subsistence combinations,1947-1948,NA,NA,boys,NA,NA,NA,adulthood,Multiple,Oblique,man other than father,Success-based,observation,Observational,NA,net making,net making,Plant fiber,The learners specifically not to learn from their fathers,"Barnett, 1963: 9"
Micronesia,Belau,OR15,Other subsistence combinations,1947-1948,NA,NA,boys,NA,NA,NA,adulthood,Multiple,Oblique,man other than father,Success-based,observation,Observational,NA,woodworking,bowl carving,Wood,The learners specifically not to learn from their fathers,"Barnett, 1963: 9"
Micronesia,Chuuk,OR19,Other subsistence combinations,1947-1948,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical/Oblique,male lineage memembers,Kin-based,considerable practice,Individual,NA,weapon making,"weapon manufacture including the club, spear, sling, knuckle-duster",NA,Individual practice is very important,"Goodenough, 1951: 53-54"
Micronesia,Chuuk,OR19,Other subsistence combinations,1947-1951,NA,NA,13,adolescence,NA,NA,adulthood,Multiple,Vertical,parents,Kin-based,individual learning and co-working,Interactive,NA,mat making,woven waist mat making,Plant fiber,The parents laugh at the learner and finish the work by themselves,"Gladwin and Sarason, 1953: 414-415"
Micronesia,Chuuk,OR19,Other subsistence combinations,1947-1951,NA,NA,>13,adolescence,Single,NA,adulthood,Single,Oblique,grandmother in father's side,Kin-based,quick demonstration,Observational,NA,basket making,basket making,Plant fiber,The model quickly demonstrat the technique and refused to answer questions. The learner did not learn how to make basket.,"Gladwin and Sarason, 1953: 414-415"
