pref_name_for_society,HRAF_name_ID,glottocode,latitude,longitude,X,market,urban,popdens,fixity,tech,writing
Havasupai,Havasupai (NT14),hava1249,35.83,-112.17,Absent,Regional,100-199 persons,< 1 person / sq. mile,Seminomadic,Pottery or Loom,Mnemonic devices
Kutenai,Kutenai (NF08),kute1249,49,-116.67,Absent,Local,100-199 persons,< 1 person / sq. mile,Seminomadic,Pottery or Loom,Mnemonic devices
Gros Ventre,Gros Ventre (NQ13),gros1243,48,-108,Present,NA,100-199 persons,< 1 person / sq. mile,Nomadic,Pottery or Loom,Mnemonic devices
Hidatsa,Hidatsa (NQ14),hida1246,47,-101,Present,Supra-Regional,400-999 persons,< 1 person / sq. mile,Semisedentary,Pottery or Loom,Mnemonic devices
Comanche,Comanche (NO06),coma1245,34,-101.5,Absent,Supra-Regional,200-399 persons,< 1 person / sq. mile,Nomadic,None,Nonwritten records
Omaha,Omaha (NQ21),omah1248,41.43,-96.5,Present,NA,1000+ persons,1-5 persons / sq. mile,Semisedentary,Pottery or Loom,Mnemonic devices
Pawnee,Pawnee (NQ18),pawn1254,42,-100,Present,NA,200-399 persons,< 1 person / sq. mile,Semisedentary,Pottery or Loom,Mnemonic devices
Huron,Huron/Wendat (NG05),wyan1247,44.5,-79,Present,Supra-Regional,1000+ persons,26-100 persons  / sq. mile,Semisedentary,Pottery or Loom,Mnemonic devices
Muscogee,Creek (NN11),cree1270,32.93,-86,Present,Supra-Regional,200-399 persons,1-5 persons / sq. mile,Semisedentary,Pottery or Loom,Nonwritten records
Natchez,Natchez (NO08),natc1249,31.5,-91.42,Present,NA,400-999 persons,5.1-25 persons/ sq. mile,Sedentary,Pottery or Loom,Nonwritten records
Chiricahua,Eastern Apache (NT08),mesc1238,32,-109.5,Absent,NA,< 100 persons,< 1 person / sq. mile,Nomadic,Pottery or Loom,Mnemonic devices
Zuni,Zuni (NT23),zuni1245,35.67,-108.75,Present,Supra-Regional,1000+ persons,1-5 persons / sq. mile,Sedentary,Multiple specialists,Nonwritten records
Tohono O'odham,O'Odham (NU79),toho1246,32,-112,Absent,NA,200-399 persons,26-100 persons  / sq. mile,Semisedentary,Pottery or Loom,Mnemonic devices
Huichol,Huichol (NU19),huic1243,22,-105,Present,NA,200-399 persons,1-5 persons / sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
Aztec,Aztec (NU07),clas1250,19,-99.17,Present,Supra-Regional,1000+ persons,100 persons / sq. mile,Sedentary,Multiple specialists,True writing
Sierra Popoluca,Popoluca (NU30),high1276,18.25,-94.83,Present,NA,400-999 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,None
Guna,Kuna (SB05),bord1248,9.25,-78.5,Present,NA,400-999 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,Nonwritten records
K'iche',Quiche Maya (NW10),kich1262,15,-91,Present,NA,1000+ persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,True writing
Bribri,Talamancans (SA19),brib1243,9,-83.25,Absent,NA,< 100 persons,5.1-25 persons/ sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
