Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Northern Africa,Nubians,MR08,Horticulturalists,1963-1964,NA,NA,NA,NA,NA,NA,NA,NA,Vertical/Oblique,Vertical/Oblique,within families,Kin-based,Kin-based,NA,NA,NA,NA,carpentary,Wood,Utilitarian,NA,M,Low,Very few specialists exist among a group of people who have general building techniques,"Kennedy and Fahim, 1977: 25"
Northern Africa,Tuareg,MS25,Agro-pastoralists,1929-1940,NA,NA,girls after 6 or 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mat weaving,Plant fiber,Utilitarian,NA,F,Low,NA,"Lhote and Sipfle, 1944: 146-147"
Northern Africa,Tuareg,MS25,Agro-pastoralists,1929-1940,NA,NA,girls after 6 or 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,little copper articles making,Metal,Utilitarian,NA,F,Low,NA,"Lhote and Sipfle, 1944: 146-147"
Northern Africa,Tuareg,MS25,Agro-pastoralists,1929-1940,NA,NA,girls after 6 or 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goat hair spinning,Animal fiber,Utilitarian,NA,F,Low,NA,"Lhote and Sipfle, 1944: 146-147"
Southern Africa,Bemba,FQ05,Horticulturalists,1930-1934,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,watching,Observational,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,The learning process is gradual and the learners were not forced to practice it.,"Richard, 1939: 105-106"
Southern Africa,Khoi,FX13,Other subsistence combinations,NA,NA,NA,little girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,assisting,Interactive,NA,NA,reed mat making,Plant fiber,Utilitarian,NA,F,Low,NA,"Schapera, 1930: 268-269"
Southern Africa,Ovambo,FX08,Agro-pastoralists,"1958-1962, 1971-1975",NA,NA,boy,NA,NA,NA,Adulthood,1,Oblique,Oblique,mother or father's brother,Kin-based,Kin-based,trained,Interactive,NA,NA,blacksmith,Metal,Utilitarian,NA,M,Low,The blacksmith has low social status. There is an initation ceremony to become independent,"Hiltunen, 1993: 70-71"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,wooden-tipped arrows making,Wood,Utilitarian,NA,M,Low,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,mat making,Plant fiber,Utilitarian,NA,M,Low,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,wood working,Wood,Utilitarian,NA,M,Low,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
