Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Southeast Asia,Vietnamese,AM11,Intensive agriculturalist,"1990-1992, 1993-1994",NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,"sons, sons-in-law, and patrilineal descendants",Kin-based,Kin-based,taught,Interactive,NA,NA,paper votive items for the dead,NA,Ritual,NA,M,High,The most important knowledge was taught exclusively to senior men; restricted to patralinial male kins,"Malarney, 1998: 273-274"
Southeast Asia,Vietnamese,AM11,Intensive agriculturalist,"1990-1992, 1993-1994",NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,"sons, sons-in-law, and patrilineal descendants",Kin-based,Kin-based,taught,Interactive,NA,NA,traditional ink-block prints,NA,NA,NA,M,High,The most important knowledge was taught exclusively to senior men; restricted to patralinial male kins,"Malarney, 1998: 273-274"
Scandinavia,Saami,EP04,Pastoralists,1958-1959,NA,NA,boy in mid or late teen,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,scaffolding and teaching,Interactive,NA,NA,boats,Wood,Utilitarian,NA,M,Low,The training is highly permissive. The author mentioned a case of prodigy where the learner made his first sled when he was 8.,"Pelto and Pertti, 1962: 112"
Scandinavia,Saami,EP04,Pastoralists,1958-1959,NA,NA,boy in mid or late teen,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,scaffolding and teaching,Interactive,NA,NA,sleds,Wood,Utilitarian,NA,M,Low,The training is highly permissive. The author mentioned a case of prodigy where the learner made his first sled when he was 8.,"Pelto and Pertti, 1962: 112"
Scandinavia,Saami,EP04,Pastoralists,1958-1959,NA,NA,boy in mid or late teen,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,scaffolding and teaching,Interactive,NA,NA,reindeer collars,Animal fiber,Utilitarian,NA,M,Low,The training is highly permissive. The author mentioned a case of prodigy where the learner made his first sled when he was 8.,"Pelto and Pertti, 1962: 112"
Scandinavia,Saami,EP04,Pastoralists,1958-1959,NA,NA,boy in mid or late teen,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,scaffolding and teaching,Interactive,NA,NA,harness,NA,Utilitarian,NA,M,Low,The training is highly permissive. The author mentioned a case of prodigy where the learner made his first sled when he was 8.,"Pelto and Pertti, 1962: 112"
Scandinavia,Saami,EP04,Pastoralists,1958-1959,NA,NA,boy in mid or late teen,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,scaffolding and teaching,Interactive,NA,NA,numerous other items,NA,Utilitarian,NA,M,Low,The training is highly permissive. The author mentioned a case of prodigy where the learner made his first sled when he was 8.,"Pelto and Pertti, 1962: 112"
Scandinavia,Saami,EP04,Pastoralists,1934,NA,NA,girl of 14,adolescence,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,instruct,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,gendered skill,"Bernatzik and Ogilvie, 1938: 99-100"
Scandinavia,Saami,EP04,Pastoralists,1934,NA,NA,girl of 14,adolescence,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,instruct,Interactive,NA,NA,shoes,NA,Utilitarian,NA,F,Low,gendered skill,"Bernatzik and Ogilvie, 1938: 99-100"
Scandinavia,Saami,EP04,Pastoralists,1934,NA,NA,girl of 14,adolescence,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,instruct,Interactive,NA,NA,fur koltes and leather garments,Animal fiber,Utilitarian,NA,F,Low,gendered skill,"Bernatzik and Ogilvie, 1938: 99-100"
Scandinavia,Saami,EP04,Pastoralists,1934,NA,NA,girl of 14,adolescence,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,instruct,Interactive,NA,NA,weave ribbons,Plant fiber,Utilitarian,NA,F,Low,gendered skill,"Bernatzik and Ogilvie, 1938: 99-100"
Scandinavia,Saami,EP04,Pastoralists,1934,NA,NA,girl of 14,adolescence,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,instruct,Interactive,NA,NA,spin sinew yarn,Plant fiber,Utilitarian,NA,F,Low,gendered skill,"Bernatzik and Ogilvie, 1938: 99-100"
Scandinavia,Saami,EP04,Pastoralists,1913-1947,NA,NA,girls of 10,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tendon string making,Animal fiber,Utilitarian,NA,NA,NA,NA,"Itkonen, Guemati, and Perez-Roman, 1948: 769-772"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,NA,NA,NA,boys of 4-5,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,training,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,M,Low,gendered skill,"Rouse, 1948: 57-58"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,NA,NA,NA,boys of 4-5,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,training,Interactive,NA,NA,canoe making,Wood,Utilitarian,NA,M,Low,gendered skill,"Rouse, 1948: 57-58"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,Weaving,Plant fiber,Utilitarian,NA,F,Low,gendered skill,"Rouse, 1948: 57-58"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,hammock making,Plant fiber,Utilitarian,NA,F,Low,gendered skill,"Rouse, 1948: 57-58"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,1974-1975,NA,NA,boys of 4-5,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,training,Interactive,NA,NA,making weapons,NA,Utilitarian,NA,M,Low,gendered skill,"Layng, 1983: 26-27"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,1974-1975,NA,NA,boys of 4-5,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,training,Interactive,NA,NA,other implements,NA,Utilitarian,NA,NA,NA,NA,"Layng, 1983: 26-27"
Caribbean,Island Carib,ST13,Primarily hunter-gatherers,1974-1975,NA,NA,girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,gendered skill,"Layng, 1983: 26-27"
Central America,Garifuna,SA12,Horticulturalists,1956-1957,NA,NA,boys after 10,middle childhood,1,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,teach,Interactive,NA,NA,canoe making,Wood,Utilitarian,NA,M,High,NA,"GonzÃ¡lez, 1969: 48"
Central America,Garifuna,SA12,Horticulturalists,1956-1957,NA,NA,boys after 10,middle childhood,1,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,teach,Interactive,NA,NA,net making,Plant fiber,Utilitarian,NA,M,High,NA,"GonzÃ¡lez, 1969: 48"
Central America,Kuna,SB05,Horticulturalists,1680-1681,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basket making,Plant fiber,Utilitarian,NA,M,High,NA,"Wafer, 1934: 95"
Central America,Kuna,SB05,Horticulturalists,Ca. 1968-1970s,NA,NA,children from an early age,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,"observation, participation, and verbal instruction",Interactive,NA,NA,clothes making,NA,Utilitarian,NA,NA,NA,NA,"Sherzer, 1983: 223"
Central Mexico,Nahua,NU46,Other subsistence combinations,1943-1948,NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,train,Interactive,NA,NA,woodworking,Wood,Utilitarian,NA,M,High,The sexual division of labor is relatively strict,"Lewis, 1951: 98"
Central Mexico,Nahua,NU46,Other subsistence combinations,1943-1948,NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,train,Interactive,NA,NA,stoneworking,Stone,Utilitarian,NA,M,High,The sexual division of labor is relatively strict,"Lewis, 1951: 98"
Central Mexico,Nahua,NU46,Other subsistence combinations,1943-1948,NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,train,Interactive,NA,NA,shoemaking,NA,Utilitarian,NA,M,High,The sexual division of labor is relatively strict,"Lewis, 1951: 98"
Central Mexico,Zapotec,NU44,Horticulturalists,1965-1967,"residence lot, street corner, quarry",mixed,17.5,adulthood,5 to 6,NA,Adulthood,1 or more,Vertical/Oblique,Vertical/Oblique,"father, brothers, unrelated individuals",Kin-based,Kin-based,Apprenticeship,Observational,NA,NA,stoneworking,Stone,Utilitarian,NA,M,Low,"The social status and hiearchy is clearly described. Much of what any apprentice learns is on his own initiative
through trial and error or imitation.","Cook, 1979: 189-191"
Central Mexico,Zapotec,NU44,Horticulturalists,1966-1967,NA,NA,men,NA,NA,NA,Adulthood,NA,NA,NA,Kins and non-kins,Kin-based/Success-based,Mixed,Apprenticeship,Observational,NA,NA,weaving,Plant fiber,Utilitarian,NA,M,Low,"Of 105 men who stated they knew how to weave, 74.3% said they learned from a relative and 25.7% learned from a non-relative.","Vargas-BarÃ³n, 1979: 96"
Maya Area,Mam Maya,NW08,Horticulturalists,1937,NA,NA,girl of 9,middle childhood,1,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,imitation and experimenting,Observational,NA,NA,weaving,Plant fiber,Utilitarian,NA,F,Low,NA,"Wagley, 1949: 34"
Maya Area,Maya (Yucatan Peninsula),NV10,Horticulturalists,1963-1968,NA,NA,four or five years,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,weaving,Plant fiber,Utilitarian,NA,Both,High,"No gender restrictions when they are kids, ","Press, 1975: 93-94"
Maya Area,Maya (Yucatan Peninsula),NV10,Horticulturalists,1963-1968,NA,NA,girls 8-9,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,multi-staged learning;by 15 girls become very good at it,"Press, 1975: 93-94; Elmendorf, 1976: 95"
Maya Area,Quiche Maya,NW10,Intensive agriculturalist,1930-1932,NA,NA,girl,NA,NA,NA,Adulthood,1,Oblique,Oblique,grandmother,Success-based,Success-based,NA,NA,NA,NA,weaving,NA,Utilitarian,NA,F,Low,The success-based exceeds the kin-basd bias here,"Bunzel, 1952: 106-107"
Maya Area,Tzeltal,NV09,Horticulturalists,"1957-1958, 1965-1967",NA,NA,11,middle childhood,NA,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,"mother, mother-in-law",Kin-based,Kin-based,emulation+explicit instruction,Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,gendered skills. Men are mostly responsible for selling potteries. Very lingustic segmentation of technological detail.,"Nash, 1970: 55-56, 274-275; Hunt, 1962: 168"
Maya Area,Tzeltal,NV09,Horticulturalists,NA,NA,NA,girl of 6 or 7,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,clothes making,Plant fiber,Utilitarian,NA,F,Low,gendered skill,"Stross, 1971: 65-66; Hunt, 1962: 94"
Maya Area,Tzeltal,NV09,Horticulturalists,NA,NA,NA,boys of 6 or 7,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,NA,NA,bag making,Plant fiber,Utilitarian,NA,M,Low,gendered skill,"Stross, 1971: 65-66"
Middle East,Lur,MA12,Agro-pastoralists,1965-1985,NA,NA,girl,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,teach,Interactive,NA,NA,clothes making,Plant fiber,Utilitarian,NA,F,Low,Parvane is Atri's daughter,"Friedl, 1989: 204"
Arctic and Subarctic,Aleut,NA06,Hunter-gatherers,1987-1990,NA,NA,Young women,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,instructed,Interactive,NA,NA,clothes making,Plant fiber,Utilitarian,NA,F,Low,gendered skills,"Petrivelli et al., 1992: 440-441; Lantis, 1970: 196"
Arctic and Subarctic,Aleut,NA06,Hunter-gatherers,1987-1990,NA,NA,Young women,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,instructed,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,Low,gendered skills,"Petrivelli et al., 1992: 440-441; Lantis, 1970: 196"
Arctic and Subarctic,Aleut,NA06,Hunter-gatherers,1987-1990,NA,NA,Young women,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,instructed,Interactive,NA,NA,mat making,Plant fiber,Utilitarian,NA,F,Low,gendered skills,"Petrivelli et al., 1992: 440-441; Lantis, 1970: 196"
Arctic and Subarctic,Aleut,NA06,Hunter-gatherers,1933-1934,NA,NA,six to eight,middle childhood,NA,NA,Adulthood,1,Oblique,Oblique,maternal uncle,Kin-based,Kin-based,"instructed, emulaton",Interactive,NA,NA,canoe making,Wood,Utilitarian,NA,M,Low,It was also mentioned that they used penis bone as flaker in stone knapping? managed to make their own boat reaching 16-17,"Petrivelli et al., 1992: 440-441; Lantis, 1970: 196; Langsdorff, 1817: 340; Laughlin, 1980: 30-31"
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,from the earliest age/<5 or 6,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,NA,NA,NA,NA,boat making,Wood,Utilitarian,NA,M,High,gendered skills,"Hrdlicka, 1975: 79"
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,from the earliest age/<5 or 6,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,NA,NA,NA,NA,weapon making,NA,Utilitarian,NA,M,High,gendered skills,"Hrdlicka, 1975: 79"
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,NA,NA,NA,NA,Adulthood,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,gendered skills,"Hrdlicka, 1975: 79"
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,NA,NA,NA,NA,Adulthood,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,mat making,NA,Utilitarian,NA,F,Low,gendered skills,"Hrdlicka, 1975: 79"
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,NA,NA,NA,NA,Adulthood,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,containers or buckets making,NA,Utilitarian,NA,F,Low,gendered skills,"Hrdlicka, 1975: 79"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,1975-1976,NA,NA,15,adolescence,1,71,Adulthood,2,Vertical,Vertical,"Adopted-father, Adopted-mother",Kin-based,Kin-based,Observation and some advice,Interactive,NA,NA,snowshoe making,NA,Utilitarian,NA,NA,NA,The learner's adopted mother is not the model but gave advice,"Irimoto, 1981: 143"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,1971-1979,trapline,outdoor field,NA,NA,NA,NA,Adulthood,1 or more,Vertical/Oblique,Vertical/Oblique,"father, brothers",Kin-based,Kin-based,Apprenticeship,Interactive,NA,NA,trap making,NA,Utilitarian,NA,NA,NA,Wife as assistant is allowed by rare,"Jarvenpa, 1980: 146-147"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,NA,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,weapon making,NA,Utilitarian,NA,NA,NA,NA,"Li and Scollon, 1976: 6"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,NA,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,net making,Plant fiber,Utilitarian,NA,NA,NA,NA,"Li and Scollon, 1976: 6"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,NA,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,trap making,NA,Utilitarian,NA,NA,NA,NA,"Li and Scollon, 1976: 6"
Arctic and Subarctic,Copper Inuit,ND08,Hunter-gatherers,1913-1916,NA,NA,girl,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,train,NA,NA,NA,clothes making,NA,Utilitarian,NA,Both,High,step-wise learning process ,"Jenness, 1946: 87"
Arctic and Subarctic,Eyak,NA07,Hunter-gatherers,"1930, 1933, 1935",special hut,indoor,girls in puberty,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,mother or other old women,Kin-based,Kin-based,teach,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,Initiation ceremony learning,"Birket-Smith and De Laguna, 1938: 156-157"
Arctic and Subarctic,Eyak,NA07,Hunter-gatherers,"1930, 1933, 1935",special hut,indoor,girls in puberty,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,mother or other old women,Kin-based,Kin-based,teach,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,Low,Initiation ceremony learning,"Birket-Smith and De Laguna, 1938: 156-157"
Arctic and Subarctic,Innu,NH06,Hunter-gatherers,1935,family tent,indoor,girl,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,teaching,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,High,five to six boys share a teacher who teaches history of the tribe,"Lips, 1947: 414"
Arctic and Subarctic,Innu,NH06,Hunter-gatherers,1935,family tent,indoor,girl,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,teaching,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,High,five to six boys share a teacher who teaches history of the tribe,"Lips, 1947: 414"
Arctic and Subarctic,Innu,NH06,Hunter-gatherers,1935,family tent,indoor,girl,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,teaching,Interactive,NA,NA,net making,Plant fiber,Utilitarian,NA,F,High,five to six boys share a teacher who teaches history of the tribe,"Lips, 1947: 414"
Arctic and Subarctic,Innu,NH06,Hunter-gatherers,1935,family tent,indoor,girl,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,teaching,Interactive,NA,NA,other handicraft reserved for the feminine sex,NA,Utilitarian,NA,F,High,five to six boys share a teacher who teaches history of the tribe,"Lips, 1947: 414"
Arctic and Subarctic,Innu,NH06,Hunter-gatherers,1935,NA,NA,boys at a very tender age,NA,NA,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,"father, other old men",Kin-based,Kin-based,teaching,Interactive,NA,NA,the manufacture of the tools for his material necessities,NA,Utilitarian,NA,NA,NA,NA,"Lips, 1947: 413-414"
Arctic and Subarctic,Kaska,ND12,Hunter-gatherers,1943-1945,NA,NA,8,middle childhood,NA,NA,Adulthood and older brothers,1 or more,Vertical/Oblique,Vertical/Oblique,"father, brothers",Kin-based,Kin-based,Observation and assistance,Interactive,NA,NA,vehicles making,NA,Utilitarian,NA,M,Low,girls learn things earlier than boys.,"Honigmann and Bennett, 1949: 185-186"
Arctic and Subarctic,Kaska,ND12,Hunter-gatherers,1943-1945,NA,NA,8,middle childhood,NA,NA,Adulthood and older brothers,1 or more,Vertical/Oblique,Vertical/Oblique,"father, brothers",Kin-based,Kin-based,Observation and assistance,Interactive,NA,NA,manufacture implements and tools,NA,Utilitarian,NA,M,Low,girls learn things earlier than boys.,"Honigmann and Bennett, 1949: 185-186"
Arctic and Subarctic,Kaska,ND12,Hunter-gatherers,"1912, 1915",lodge,indoor,puberty/isolation,middle childhood,NA,NA,Adulthood,1 or more,Vertical/Oblique,Vertical/Oblique,"mother, other female relatives and neighbors",Kin-based,Kin-based,instruction,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,initiation ceremoy learning; men are not allowed to approach to girls at this stage,"Teit and Helm, 1956: 115-119"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1938,NA,NA,after puberty rites,adolescence,NA,NA,Adulthood,1 or more,Vertical/Oblique,Vertical/Oblique,"father, other older men",Kin-based,Kin-based,helping,Interactive,NA,NA,weapon making,NA,Utilitarian,NA,M,Low,gendered skills,"Hilger, 1939: 101-102"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,"1905-1925, 1938",NA,NA,"little girl before 10, after puberty rites",middle childhood,NA,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,"teaching, making minature",Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,"gendered skills; The ""parents"" refer to grandfather and great grandmother","Hilger, 1939: 101-102; Densmore, 1929: 60-61, 190; Hilger, 1951: 55-56; Theriault, 1992: 18"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1938,NA,NA,after puberty rites,adolescence,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,"teaching, making minature",Interactive,NA,NA,vessels making,Plant fiber,Utilitarian,NA,F,Low,gendered skills,"Hilger, 1939: 101-102; Densmore, 1929: 60-61; Hilger, 1951: 56"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1938,NA,NA,after puberty rites,adolescence,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,"teaching, making minature",Interactive,NA,NA,beadwork,NA,NA,NA,F,Low,gendered skills,"Hilger, 1939: 101-102; Densmore, 1929: 60-61; Hilger, 1951: 56"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1932-1940,NA,NA,little girls,NA,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother, non-related individual",Kin-based/Success-based,Mixed,NA,NA,NA,NA,hidework,Animal fiber,Utilitarian,NA,F,Low,gendered skill,"Hilger, 1951, 55; Landes, 1938: 15-16"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,NA,NA,NA,little girl before 10,middle childhood,NA,NA,Adulthood,3,Oblique,Oblique,great-grandparents and grandfather,Kin-based,Kin-based,NA,NA,NA,NA,net making,Plant fiber,Utilitarian,NA,NA,NA,"The ""parents"" refer to grandfather and great grandmother","Theriault, 1992: 18; Hilger, 1951, 55"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,Ca. 1932,NA,NA,boy,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,teach,Interactive,NA,NA,trap making,NA,Utilitarian,NA,Both,High,The learner's mother taught simpler traps and his father taught more complex ones ,"Landes, 1938: 12; Landes, 1937: 118-119"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1929,NA,NA,girls at 7,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"parents, grandparents",Kin-based,Kin-based,taught,Interactive,NA,NA,mat making,Plant fiber,Utilitarian,NA,F,Low,NA,"Jennes, 1935: 94"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1929,NA,NA,girls at 7,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"parents, grandparents",Kin-based,Kin-based,taught,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,Low,NA,"Jennes, 1935: 94"
Arctic and Subarctic,Western Woods Cree,NG08,Hunter-gatherers,"1938, 1940",NA,NA,girls before puberty,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,show,Observational,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,NA,"Mason, 1967: 47-48"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,1951,NA,NA,NA,NA,NA,NA,Adulthood,1,Oblique,Oblique,"brothers, uncle-nephew",Kin-based/Success-based,Mixed,NA,NA,NA,NA,woodworking,Wood,Utilitarian,NA,NA,NA,The model has also demonstrated and trained a larger pool of learner,"Leftwich, 1986: 99-100"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,1932,NA,NA,boys of 4 or 5,infancy and early childhood,NA,NA,Adulthood and older brothers,2,Vertical/Horizontal,Vertical/Horizontal,"father, older brother",Kin-based,Kin-based,supervision,NA,NA,NA,weapon making,NA,Utilitarian,NA,M,Low,gendered skills,"Gilbert, 1978: 255"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,1932,NA,NA,"girls of 4 or 5, children during adolescence",infancy and early childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,immediate adult famility members,Kin-based,Kin-based,apprenticeship,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,Low,Leftwich mentioned an interviewee started to make her basket starting from 10,"Gilbert, 1978: 255; Leftwich, 1986: 2; French et al., 1981: 13"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,1932,NA,NA,"girls of 4 or 5, children during adolescence",infancy and early childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,immediate adult famility members,Kin-based,Kin-based,apprenticeship,Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,gendered skills,"Gilbert, 1978: 255; French et al., 1981: 13"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,NA,NA,NA,girls when very young,NA,NA,NA,NA,>1,Vertical/Oblique,Vertical/Oblique,"mother, female clan members",Kin-based,Kin-based,taught,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,gendered skills,"Fox, 2003: 357; Wahnenauhi and Kilpatrick, 1966: 190"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,NA,NA,NA,children during adolescence,adolescence,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,immediate adult famility members,Kin-based,Kin-based,apprenticeship,Interactive,NA,NA,blowgun making,NA,Utilitarian,NA,NA,NA,NA,"French et al., 1981: 13"
Eastern Woodlands,Cherokee,NN08,Other subsistence combinations,NA,NA,NA,children during adolescence,adolescence,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,immediate adult famility members,Kin-based,Kin-based,apprenticeship,Interactive,NA,NA,leadther working,Animal fiber,Utilitarian,NA,NA,NA,NA,"French et al., 1981: 13"
Eastern Woodlands,Delaware,NM07,Primarily hunter-gatherers,1938,NA,NA,girls at an early age,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,Parents or other elders,Kin-based,Kin-based,instructed,Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,High,NA,"Kinietz, 1946: 45-46"
Eastern Woodlands,Delaware,NM07,Primarily hunter-gatherers,1938,NA,NA,girls at an early age,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,Parents or other elders,Kin-based,Kin-based,instructed,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,High,NA,"Kinietz, 1946: 45-46"
