"eHRAF.ID","EA.ID","Subsistence","Society","Lat","Long"
"NF04","Ne11","Hunter-gatherers","Assiniboine",48,-106
"NF06",NA,"Hunter-gatherers","Blackfoot",49.34,-111.21
"NO06","Ne03","Hunter-gatherers","Comanche",33,-100
"NQ10","Ne04","Hunter-gatherers","Crow",45,-108
"NQ13","Ne01","Hunter-gatherers","Gros Ventre",48.78,-108.98
"NR10","Nc08","Hunter-gatherers","Klamath",43,-122
"NF08","Nd07","Hunter-gatherers","Kutenai",50,-117
"NQ21","Nf03","Primarily hunter-gatherers","Omaha",41,-96
"NQ18","Nf06","Other subsistence combinations","Pawnee",42,-100
"NT08","Nh01","Hunter-gatherers","Eastern Apache",31,-108
"NT14","Nd03","Other subsistence combinations","Havasupai",36,-112
"NT09",NA,"Intensive agriculturalist","Hopi",35.77,-110.53
"NT43","Nh05","Primarily hunter-gatherers","Maricopa",33,-113
"NT25","Nh15","Hunter-gatherers","Mescalero Apache",33,-103
"NT13",NA,"Agro-pastoralists","Navajo",36.21,-110.08
"NU79","Ni02","Other subsistence combinations","O'odham ",31,-112
"NT18","Nh11","Intensive agriculturalist","Tewa Pueblos",36,-106
"NT19","Nd02","Hunter-gatherers","Ute",38,-109
"NT21","Nh17","Primarily hunter-gatherers","Western Apache",34,-110
"NT23","Nh04","Intensive agriculturalist","Zuni",35,-109
"OI08","Id01","Hunter-gatherers","Aranda",-24,134
"OI20","Id03","Hunter-gatherers","Tiwi",-11.56,130.81
"OJ29","Ie01","Intensive agriculturalist","Kapauku",-4,136
"OJ13","Ie12","Other subsistence combinations","Kwoma",-4,142
"OO12","Ih02","Horticulturalists","Maleluka",-16.51,167.47
"OM06","Ig09","Hunter-gatherers","Manus",-2,147
"ON19","Ig01","Agro-pastoralists","Siwai",-6,155
"ON26","Ig03","Other subsistence combinations","Tinputz",-5.6,154.91
"OL06",NA,"Other subsistence combinations","Trobriands",-8.54,151.01
"OJ27","Ie04","Other subsistence combinations","Wogeo",-3.24,144.1
"OR15",NA,"Other subsistence combinations","Belau",7.5,134.5
"OR19","If02","Other subsistence combinations","Chuuk",7.34,151.6
"OR06",NA,"Primarily hunter-gatherers","Kiribati",3.38,172.99
"OR11","If17","Other subsistence combinations","Marshallese",6.28,169.49
"OR20","If09","Other subsistence combinations","Ulithi",10.02,139.79
"OR21","If04","Other subsistence combinations","Woleai Region",7.25,144.46
"OQ12","Ih14","Primarily hunter-gatherers","Bau Fijians",-17.81,178.32
"OV05","Ij06","Other subsistence combinations","Hawaiians",19.89,-155.83
"OZ04",NA,"Primarily hunter-gatherers","Maori",-35.33,174.17
"OX06","Ij03","Other subsistence combinations","Marquesas",-8.9,-140.08
"OU08","Ii01","Horticulturalists","Samoans",-13.68,-172.41
"OT11",NA,"Other subsistence combinations","Tikopia",-12.29,168.83
"OU09","Ii12","Horticulturalists","Tongans",-19.74,-175.07
"SE06","Se08","Other subsistence combinations","Amahuaca",-10,-72
"SD09",NA,"Horticulturalists","Jivaro",-3,-78
"SR14",NA,"Horticulturalists","Ndyuka",4.31,-54.64
"SS19","Sc02","Other subsistence combinations","Pumé",7,-68
"SR15","Sc06","Other subsistence combinations","Saramaca",4,-56
"SE26",NA,"Horticulturalists","Shipibo",-7.17,-74.82
"SF21",NA,"Hunter-gatherers","Sirionó",-14.5,-63.5
"SQ19","Se05","Other subsistence combinations","Tukano",1,-71
"SS18","Sc01","Hunter-gatherers","Warao",9,-62
"SF05","Sf02","Horticulturalists","Aymara",-16,-69
"SD16",NA,"Horticulturalists","Otavalo Quichua",0.31776,-78.3729
"SD17",NA,"Agro-pastoralists","Saraguro Quichua",-3.69352,-79.29151
"SP08","Si01","Hunter-gatherers","Bororo",-16,-55
"SM04","Sj10","Other subsistence combinations","Guaraní",-26,-54
"SP22","Sd02","Other subsistence combinations","Tapirapé",-11,-52
"SO09","Sj08","Primarily hunter-gatherers","Tupinamba",-8,-35
"SP26","Sj11","Primarily hunter-gatherers","Xavante",-14,-52
"SD06","Sf03","Other subsistence combinations","Chachi",1,-79
"SC13",NA,"Pastoralists","Goajiro",11.92,-71.75
"SC07",NA,"Horticulturalists","Kogi",10.9485,-73.8043
"SK06","Sh05","Hunter-gatherers","Chorote",-22,-62
"SH04","Sg03","Hunter-gatherers","Ona",-54,-69
"SH05","Sg04","Hunter-gatherers","Tehuelche",-46,-70
"SH06","Sg01","Hunter-gatherers","Yahgan",-55.02,-68.98
